piece,piece_url,Work Title,Composer,Opus/Catalogue NumberOp./Cat. No.,Key,Movements/SectionsMov'ts/Sec's,Year/Date of CompositionY/D of Comp.,Composer Time PeriodComp. Period,Piece Style,Instrumentation,Average DurationAvg. Duration
"Aimons-nous et dormons (Debussy, Claude)",https://imslp.org/wiki/Aimons-nous_et_dormons_(Debussy%2C_Claude),Aimons-nous et dormons,"Debussy, Claude",CD 7 ; L.16,E major,"1 song (Moderato, 53 bars)",1880,Romantic,Romantic,"voice, piano",
"Andante and Tempo di Marcia Funebra (Debussy, Claude)",https://imslp.org/wiki/Andante_and_Tempo_di_Marcia_Funebra_(Debussy%2C_Claude),Andante and Tempo di Marcia Funebra,"Debussy, Claude",CD 10,see below,2 pieces:Andante cantabile (E major)Tempo di Marcia Funebra (B minor),1881,Romantic,Romantic,piano 4 hands,
"Les angélus (Debussy, Claude)",https://imslp.org/wiki/Les_ang%C3%A9lus_(Debussy%2C_Claude),Les angélus,"Debussy, Claude",CD 88 ; L 76,,,1892 (February),Romantic,Romantic,"voice, piano",
"Apparition (Debussy, Claude)",https://imslp.org/wiki/Apparition_(Debussy%2C_Claude),Apparition,"Debussy, Claude",CD 57 ; L.53,,1,"1884 (8 February), Ville d'Avray",Romantic,Romantic,Voice and Piano,
"2 Arabesques (Debussy, Claude)",https://imslp.org/wiki/2_Arabesques_(Debussy%2C_Claude),Deux Arabesques,"Debussy, Claude",CD 74 ; L.66,see below,"2 pieces:1. Andantino con moto (E major, 107 bars2. Allegretto scherzando (G major, 110 bars)",1890-91,Romantic,Romantic,piano,
"Ariettes oubliées (Debussy, Claude)",https://imslp.org/wiki/Ariettes_oubli%C3%A9es_(Debussy%2C_Claude),Ariettes oubliées,"Debussy, Claude",CD 63 ; L.60,,6 songs:1. C’est l’extase langoureuse2. Il pleure dans mon coeur3. L’ombre des arbres4. Paysages belges. Chevaux de bois5. Aquarelles I. Green6. Aquarelles II. Spleen,"1885-87, rev.19031 and 2: March 18873 and 4: 6 and 10 January 18855: January 1886",Romantic,Romantic,"voice, piano",
"3 Ballades de François Villon (Debussy, Claude)",https://imslp.org/wiki/3_Ballades_de_Fran%C3%A7ois_Villon_(Debussy%2C_Claude),Trois Ballades de François Villon,"Debussy, Claude",CD 126 ; L.119,,"3 pieces:Faulse beauté qui tant me coûte cherDame du ciel, régente terrienneQuoy qu'on tient belles langagières",1910,Romantic,Romantic,"voice, piano",14 minutes
"Ballade (Debussy, Claude)",https://imslp.org/wiki/Ballade_(Debussy%2C_Claude),Ballade,"Debussy, Claude",CD 78 ; L.70,F major,1 balladeAndantino con moto (105 bars),1890,Romantic,Romantic,piano,7 minutes
"Beau soir (Debussy, Claude)",https://imslp.org/wiki/Beau_soir_(Debussy%2C_Claude),Beau soir,"Debussy, Claude",CD 84 ; L.6,,,"1880 ca., rev.1890-91",Romantic,Romantic,"voice, piano",
"La belle au bois dormant (Debussy, Claude)",https://imslp.org/wiki/La_belle_au_bois_dormant_(Debussy%2C_Claude),La belle au bois dormant,"Debussy, Claude",CD 81 ; L.74,,,1890,Romantic,Romantic,"voice, piano",
"Berceuse héroïque (Debussy, Claude)",https://imslp.org/wiki/Berceuse_h%C3%A9ro%C3%AFque_(Debussy%2C_Claude),Berceuse héroïque,"Debussy, Claude",CD 140 ; L.132,,,1914 (November),Romantic,Romantic,"2 flutes, 2 oboes, English horn, 3 clarinets, 3 bassoons4 horns, 2 trumpets, 3 trombones, tuba, timpani, 2 harps, strings",4 minutes
"Berceuse pour 'La tragédie de la mort' (Debussy, Claude)",https://imslp.org/wiki/Berceuse_pour_'La_trag%C3%A9die_de_la_mort'_(Debussy%2C_Claude),Berceuse pour 'La Tragédie de la Mort',"Debussy, Claude",CD 100,,,1899,Romantic,Romantic,voice (unaccompanied),
"La boîte à joujoux (Debussy, Claude)",https://imslp.org/wiki/La_bo%C3%AEte_%C3%A0_joujoux_(Debussy%2C_Claude),La boîte à joujoux,"Debussy, Claude",CD 136 ; L.128,,6 sections:Prélude1. Le Magasin de jouets2. Le Champ de bataille3. La Bergerie à vendre4. Après fortune faiteÉpilogue,1913,Romantic,Romantic,"2d1, 2+1, 2, 2 - 2, 2, 0, 0, timp, 2perc, cel, pf, hp, strs2 flutes (2nd also piccolo), 2 oboes, English horn, 2 clarinets, 2 bassoons2 horns, 2 trumpets, timpani, harp, 2 percussion, celesta, piano, harp, strings",
"D'un cahier d'esquisses (Debussy, Claude)",https://imslp.org/wiki/D'un_cahier_d'esquisses_(Debussy%2C_Claude),D'un Cahier d'Esquisses,"Debussy, Claude",CD 112 ; L.99,D-flat major,1 movementTrès lent (53 bars),1903–04 (January),Romantic,Romantic,piano,
"Cello Sonata (Debussy, Claude)",https://imslp.org/wiki/Cello_Sonata_(Debussy%2C_Claude),Cello Sonata,"Debussy, Claude",CD 144 ; L.135,,"3 movements:I. Prologue: Lent, sostenuto e molto risolutoII. Sérénade: Modérément animéIII. Final: Animé, léger et nerveux",1915 (July-August),Romantic,Romantic,"cello, piano",12 minutes
"Chanson espagnole (Debussy, Claude)",https://imslp.org/wiki/Chanson_espagnole_(Debussy%2C_Claude),Chanson espagnole,"Debussy, Claude",,B minor,,1883,Romantic,Early 20th century,"2 voices, piano",
"3 Chansons de Bilitis (Debussy, Claude)",https://imslp.org/wiki/3_Chansons_de_Bilitis_(Debussy%2C_Claude),3 Chansons de Bilitis,"Debussy, Claude",CD 97 ; L.90,,3 songs:La flûte de PanLa chevelureLe tombeau des naïades,1897-98,Romantic,Romantic,"voice, piano",
"3 Chansons de Charles d'Orléans (Debussy, Claude)",https://imslp.org/wiki/3_Chansons_de_Charles_d'Orl%C3%A9ans_(Debussy%2C_Claude),3 Chansons de Charles d'Orléans,"Debussy, Claude",CD 99 ; L.92,,"3 songs:1. Dieu! qu'il la fait bon regarder!2. Quand j'ay ouy le tabourin3. Yver, vous n'estes qu'un vilain","1898 (nos.1, 3), 1908 (no.2)",Romantic,Romantic,mixed chorus (SSAATTBB) a capella,5-6 minutes
"3 Chansons de France (Debussy, Claude)",https://imslp.org/wiki/3_Chansons_de_France_(Debussy%2C_Claude),Trois chansons de France,"Debussy, Claude",CD 115 ; L.102,,3 chansonsRondel: Le temps a laissé son manteauLa Grotte: Auprès de cette grotte sombreRondel: Pour ce que Plaisance est morte,1904,Romantic,Early 20th century,"voice, piano",
"Children's Corner (Debussy, Claude)",https://imslp.org/wiki/Children's_Corner_(Debussy%2C_Claude),Children's Corner,"Debussy, Claude",CD 119 ; L.113,,"6 movements:Doctor Gradus ad ParnassumModérément animé (C major, 76 bars)Jimbo's LullabyAzzez modéré (B-flat major, 81 bars)Serenade for the DollAllegretto ma non troppo (E major, 124 bars)The Snow Is DancingModérément animé (D minor, 74 bars)The Little ShepherdTrès modéré (A major, 31 bars)Golliwog's Cake-walkAllegro giusto (E-flat major, 128 bars)",1906-1908,Romantic,Romantic,piano,15 minutes
"Clair de lune (Debussy, Claude)",https://imslp.org/wiki/Clair_de_lune_(Debussy%2C_Claude),,,,,,,,,,
"La damoiselle élue (Debussy, Claude)",https://imslp.org/wiki/La_damoiselle_%C3%A9lue_(Debussy%2C_Claude),La damoiselle élue,"Debussy, Claude",CD 69 ; L. 62,,,"1887-88, reorchestrated 1902",Romantic,Romantic,"3, 2+1, 2+1, 3 - 4, 3, 3, 1, 2hp, strs3 flutes, 2 oboes, English horn, 2 clarinets, bass clarinet, 3 bassoons4 horns, 3 trumpets, 3 trombones, tuba, 2 harps, strings",21 minutes
"Dans le jardin (Debussy, Claude)",https://imslp.org/wiki/Dans_le_jardin_(Debussy%2C_Claude),Dans le jardin,"Debussy, Claude",CD 107 ; L.78,,1,1903 (May),Romantic,Romantic,"voice, piano",
"Danse bohémienne (Debussy, Claude)",https://imslp.org/wiki/Danse_boh%C3%A9mienne_(Debussy%2C_Claude),Danse bohémienne,"Debussy, Claude",CD 4 ; L.9,,,1880,Romantic,Romantic,piano,2 minutes
"Danse sacrée et danse profane (Debussy, Claude)",https://imslp.org/wiki/Danse_sacr%C3%A9e_et_danse_profane_(Debussy%2C_Claude),Danse Sacrée et Danse Profane,"Debussy, Claude",CD 113 ; L. 103,,2 dances:Danse sacréeDanse profane,1904 (April-May),Romantic,Romantic,"harp, strings",9-10 minutes
"Danse (Debussy, Claude)",https://imslp.org/wiki/Danse_(Debussy%2C_Claude),Danse,"Debussy, Claude",CD 77 ; L.69,,1 tarantelle,1890,Romantic,Romantic,piano,
"Diane au bois (Debussy, Claude)",https://imslp.org/wiki/Diane_au_bois_(Debussy%2C_Claude),Diane au bois,"Debussy, Claude",,,,1883-86,Romantic,Romantic,"soprano, tenor, piano",
"Diane Ouverture (Debussy, Claude)",https://imslp.org/wiki/Diane_Ouverture_(Debussy%2C_Claude),Diane Ouverture,"Debussy, Claude",,C major,1 overture,1881,Romantic,Romantic,piano 4-hands,
"Divertissement (Debussy, Claude)",https://imslp.org/wiki/Divertissement_(Debussy%2C_Claude),Divertissement,"Debussy, Claude",,,,1882,Romantic,Romantic,piano 4 hands,
"Églogue (Debussy, Claude)",https://imslp.org/wiki/%C3%89glogue_(Debussy%2C_Claude),Églogue,"Debussy, Claude",CD 27 ; L.49,C-sharp minor,,1882,Romantic,Romantic,"soprano, tenor, piano",
"Élégie (Debussy, Claude)",https://imslp.org/wiki/%C3%89l%C3%A9gie_(Debussy%2C_Claude),Élégie,"Debussy, Claude",CD 146 ; L.138,,,1915,Romantic,Early 20th century,piano,
"En blanc et noir (Debussy, Claude)",https://imslp.org/wiki/En_blanc_et_noir_(Debussy%2C_Claude),En blanc et noir,"Debussy, Claude",CD 142 ; L.134,,3 sections:Avec emportementLent. SombreScherzando,1915 (4 June - 20 July),Romantic,Early 20th century,2 pianos,
"En sourdine (Debussy, Claude)",https://imslp.org/wiki/En_sourdine_(Debussy%2C_Claude),En sourdine,"Debussy, Claude",,E major,,1882,Romantic,Romantic,"voice, piano",
"L'enfant prodigue (Debussy, Claude)",https://imslp.org/wiki/L'enfant_prodigue_(Debussy%2C_Claude),L'Enfant Prodigue,"Debussy, Claude",CD 61 ; L.57,,"9 movementsPrélude. Andante, très calme (B major)Air. L'année, en vain chasse l'annéeAndante non troppo (B minor)Récit. Eh bien, encor des pleurs !Cortège et Air de danseModerato ; Tempo quasi andante rubato (C-sharp minor)Récit et Air. Ces airs joyeux ; O temps, à jamais effacéAndantino (A major)Récit et Air. Je m'enfuisDuo. Rouvre les yeux à la lumièreAndantino (F-sharp minor)Air. Mon fils est revenuAndante maestoso (E-flat major)Trio. Mon cœur renaît à l’espéranceAndantino (C major), Allegro moderato (B major)","1884, rev.1907",Romantic,Romantic,"Solo VoicesLia (soprano)Azaël (tenor)Siméon (baritone)Chorus(villagers, SATB)ad lib.Orchestra3 flutes, 2 oboes, English horn, 2 clarinets, 2 bassoons4 horns, 2 trumpets, 3 trombones, tubatimpani, cymbals, tambourine, 2 harps, strings",22-25 minutes
"6 Épigraphes antiques (Debussy, Claude)",https://imslp.org/wiki/6_%C3%89pigraphes_antiques_(Debussy%2C_Claude),Six épigraphes antiques,"Debussy, Claude",CD 139 ; L.131,,"6 movements:Pour invoquer Pan, dieu du vent d'étéPour un tombeau sans nomPour que la nuit soit propicePour la danseuse aux crotalesPour l'égyptiennePour remercier la pluie au matin",1914-15,Romantic,Early 20th century,piano 4-hands,15 minutes
"Estampes (Debussy, Claude)",https://imslp.org/wiki/Estampes_(Debussy%2C_Claude),Estampes,"Debussy, Claude",CD 108 ; L.100,,3 piecesPagodes (98 bars)La soirée dans Grenade (136 bars)Jardins sous la pluie,1903 July,Romantic,Romantic,piano,13-15 minutes
"Etudes (Debussy, Claude)",https://imslp.org/wiki/Etudes_(Debussy%2C_Claude),Douze Etudes,"Debussy, Claude",CD 143 ; L.136,,12 studies in 2 volumes:Livre I1. Pour les cinq doigts (after M. Czerny)2. Pour les tierces3. Pour les quartes4. Pour les sixtes5. Pour les octaves6. Pour les huit doigtsLivre II7. Pour les degrés chromatiques8. Pour les agréments9. Pour les notes répétées10. Pour les sonorités opposées11. Pour les arpèges composés12. Pour les accords,1915 (July 23 to September 29),Romantic,Romantic,piano,
"Fantaisie for Piano and Orchestra (Debussy, Claude)",https://imslp.org/wiki/Fantaisie_for_Piano_and_Orchestra_(Debussy%2C_Claude),Fantaisie for Piano and Orchestra,"Debussy, Claude",CD 72 ; L.73,,3 movements:I. Andante ma non troppoII. Lento e molto espressivoIII. Allegro molto,1889-90 (October to April),Romantic,Romantic,"see below1st Version3 flutes, 2 oboes, english horn, 2 clarinets, bass clarinet, 3 bassoons,4 horns, 3 trumpets, 3 trombones, timpani, cymbals, 2 harps, strings2nd Version3 flutes (3rd also piccolo), 2 oboes, english horn, 2 clarinets, bass clarinet, 3 bassoons,4 horns, 3 trumpets, 3 trombones, timpani, cymbals, harp, strings",
"Fêtes galantes, 1er recueil (Debussy, Claude)",https://imslp.org/wiki/F%C3%AAtes_galantes%2C_1er_recueil_(Debussy%2C_Claude),"Fêtes galantes, Premier recueil","Debussy, Claude",CD 86 ; L.80,,3 songs (5 in 1st version)En sourdine (2nd version)Fantoches (2nd version)Clair de lune (2nd version),"1882, rev.1891-92",Romantic,Early 20th century,"voice, piano",
"Fêtes galantes, 2e recueil (Debussy, Claude)",https://imslp.org/wiki/F%C3%AAtes_galantes%2C_2e_recueil_(Debussy%2C_Claude),"Fêtes galantes, Deuxième recueil","Debussy, Claude",CD 114 ; L.104,,3 songs:Les IngénusLe FauneColloque sentimental,1904,Romantic,Romantic,"voice, piano",7 minutes in all
"Fleur des blés (Debussy, Claude)",https://imslp.org/wiki/Fleur_des_bl%C3%A9s_(Debussy%2C_Claude),Fleur des blés,"Debussy, Claude",CD 16 ; L.7,,1 song,1881,Romantic,Romantic,"voice, piano",
"Fragment for Piano (Debussy, Claude)",https://imslp.org/wiki/Fragment_for_Piano_(Debussy%2C_Claude),Fragment for piano,"Debussy, Claude",,,1 fragment,1905/06/04,Romantic,Early 20th century,piano,1 minute
"Fugue à 4 voix (Debussy, Claude)",https://imslp.org/wiki/Fugue_%C3%A0_4_voix_(Debussy%2C_Claude),Fugue à 4 voix,"Debussy, Claude",,C minor,,"1884 — Paris: Prix de Rome, concours d'essai",Romantic,Romantic,4 voices,
"Fugue in C Major (Debussy, Claude)",https://imslp.org/wiki/Fugue_in_C_Major_(Debussy%2C_Claude),Fugue in C Major,"Debussy, Claude",,C major,,1882,Romantic,Classical,4 voices,6 minutes
"Hommage à Haydn (Debussy, Claude)",https://imslp.org/wiki/Hommage_%C3%A0_Haydn_(Debussy%2C_Claude),Hommage à Haydn,"Debussy, Claude",CD 123 ; L.115,,,1909 (May),Romantic,Romantic,piano,2-3 minutes
"Images oubliées (Debussy, Claude)",https://imslp.org/wiki/Images_oubli%C3%A9es_(Debussy%2C_Claude),Images oubliées,"Debussy, Claude",CD 94 ; L.87,see below,3 pieces:Lent (mélancolique et doux) (F♯minor)Souvenir du Louvre* (C♯minor)Quelques aspects deNous n'irons plus au boisparce qu’il fait un temps insupportable. (D minor),1894 (Winter),Romantic,Early 20th century,piano,13 minutes
"Images pour orchestre (Debussy, Claude)",https://imslp.org/wiki/Images_pour_orchestre_(Debussy%2C_Claude),Images,"Debussy, Claude",CD 118 ; L.122,,3 pieces:1. Gigues2. IbériaI. Par les rues et les cheminsII. Les parfums de la nuitIII. Le matin d'un jour de fête3. Rondes de printemps,1905-12,Romantic,Early 20th century,"Gigues2 flutes, 2 piccolos, 2 oboes, oboe d'amore, English horn,3 clarinets, bass clarinet, 3 bassoons, contrabassoon4 horns, 4 trumpets, 3 trombonestimpani, cymbals, snare drum, xylophone,celesta, 2 harps, stringsIberia3 flutes (3rd also piccolo), piccolo, 2 oboes, English horn,3 clarinets, 3 bassoons, contrabassoon4 horns, 3 trumpets, 3 trombones, tubatimpani, tambourine, castanets, cymbals, snare drum,xylophone, chimes (3), celesta, 2 harps, stringsRondes de printemps3 flutes (3rd also piccolo), 2 oboes, English horn, 3 clarinets,3 bassoons, contrabassoon4 hornstimpani, triangle, tambourine, cymbalscelesta, 2 harps, strings",38-40 minutes
"Images, 1re série (Debussy, Claude)",https://imslp.org/wiki/Images%2C_1re_s%C3%A9rie_(Debussy%2C_Claude),Images (Prèmiere Série),"Debussy, Claude",CD 105 ; L.110,,3 pieces:Reflets dans l'eauHommage à RameauMouvement,1901-05,Romantic,Early 20th century,piano,
"Images, 2e série (Debussy, Claude)",https://imslp.org/wiki/Images%2C_2e_s%C3%A9rie_(Debussy%2C_Claude),Images (Deuxième Série),"Debussy, Claude",CD 120 ; L.111,,3 movements:Cloches à travers les feuillesEt la lune descend sur le temple qui futPoissons d'or,1907,Romantic,Early 20th century,piano,
"Invocation (Debussy, Claude)",https://imslp.org/wiki/Invocation_(Debussy%2C_Claude),Invocation: Choeur pour voix d'hommes et orchestre,"Debussy, Claude",L. 40,,,1883,Romantic,Romantic,"TTBB chorus, piccolo + 2 flutes, 2 oboes, 2 clarinets in A, 2 bassoons2 horns in D, 2 horns in F, 2 trumpets in D, 3 trombones, 2 harps, strings",
"L'isle joyeuse (Debussy, Claude)",https://imslp.org/wiki/L'isle_joyeuse_(Debussy%2C_Claude),L'isle joyeuse,"Debussy, Claude",CD 109 ; L.106,,1,1904,Romantic,Early 20th century,piano,6-7 minutes
"Jeux (Debussy, Claude)",https://imslp.org/wiki/Jeux_(Debussy%2C_Claude),Jeux,"Debussy, Claude",CD 133 ; L.126,,1 ballet (709 bars),1912-13,Romantic,Early 20th century,"2+2, 2+1, 2+1, 3+ssph - 4, 3, 3, 1, timp, 4perc, cel, 2hp, strs2 piccolos, 2 flutes, 2 oboes, English horn,2 clarinets, bass clarinet, 3 bassoons, sarrusophone4 horns, 3 trumpets, 3 trombones, tubatimpani, triangle, tambourine, cymbals,xylophone, celesta, 2 harps, strings",20 minutes
"Khamma (Debussy, Claude)",https://imslp.org/wiki/Khamma_(Debussy%2C_Claude),Khamma,"Debussy, Claude",CD 132 ; L.125,,,1910-12,Romantic,Early 20th century,Piano,
"Lindaraja (Debussy, Claude)",https://imslp.org/wiki/Lindaraja_(Debussy%2C_Claude),Lindaraja,"Debussy, Claude",,,,1901 (April),Romantic,Early 20th century,2 pianos,
"The Little Nigar (Debussy, Claude)",https://imslp.org/wiki/The_Little_Nigar_(Debussy%2C_Claude),The Little Nigar,"Debussy, Claude",CD 122 ; L.114,C major,,1909,Romantic,Early 20th century,piano,2 minutes
"Mandoline (Debussy, Claude)",https://imslp.org/wiki/Mandoline_(Debussy%2C_Claude),Mandoline,"Debussy, Claude",CD 43 ; L 29,,,"1882 (November 15, Vienna)",Romantic,Romantic,"voice, piano",
"Marche écossaise sur un thème populaire (Debussy, Claude)",https://imslp.org/wiki/Marche_%C3%A9cossaise_sur_un_th%C3%A8me_populaire_(Debussy%2C_Claude),Marche écossaise sur un thème populaire,"Debussy, Claude",CD 83 ; L.77,,,Version A:1890Version B:1893-ca.1908,Romantic,Early 20th century,"2+1, 2+1, 2, 2 - 4, 2, 3, 0, timp, 2perc, hp, strspiccolo, 2 flutes, 2 oboes, English horn, 2 clarinets, 2 bassoons4 horns, 2 trumpets, 3 trombones, timpani, cymbals, drum, harp, strings",5-6 minutes
"Le martyre de saint Sébastien (Debussy, Claude)",https://imslp.org/wiki/Le_martyre_de_saint_S%C3%A9bastien_(Debussy%2C_Claude),Le martyre de Saint Sébastien,"Debussy, Claude",CD 130 ; L.124,,5 acts:I. La Cour des lysII. La Chambre magiqueIII. Le Concile des faux dieuxIV. Le Laurier blesséV. Le Paradis,1910,Romantic,Romantic,"Solo Voices(soprano, 2 altos)Mixed ChorusOrchestra2 piccolos, 2 flutes, 2 oboes, English horn, 3 clarinets,bass clarinet, 3 bassoons, contrabassoon6 horns, 4 trumpets, 3 trombones, tubatimpani, cymbals, bass drum, tam-tam,celesta, 3 harps, strings",
